Year,Scenario,PVCZ,Expected EoL Systems,Smoothed EoL Systems
2030,Scenario 1,T7:H4,5957.559580621596,5969.543843482396
2030,Scenario 1,T8:H4,383.99125833897034,381.10954389778334
2030,Scenario 2,T6:H4,133.70943979121373,133.22993005035698
2030,Scenario 2,T7:H4,9305.327287523316,9289.105210258896
2030,Scenario 2,T8:H4,597.7468293479149,593.6650698498694
2030,Scenario 3,T6:H4,173.27990748540287,172.51378285199897
2030,Scenario 3,T7:H4,12653.09499442502,12608.666577035396
2030,Scenario 3,T8:H4,811.5024003568585,806.220595801955
2031,Scenario 1,T6:H4,96.61635185021234,97.0737171689169
2031,Scenario 1,T7:H4,6213.686970935763,6252.814567377421
2031,Scenario 1,T8:H4,379.0980128790847,378.9554836861316
2031,Scenario 2,T6:H4,138.54102750532036,138.64285123241604
2031,Scenario 2,T7:H4,9663.98611807174,9669.196210155378
2031,Scenario 2,T8:H4,614.7180149151134,612.9597404604599
2031,Scenario 3,T6:H4,180.4657031604283,180.21198529591516
2031,Scenario 3,T7:H4,13114.285265207718,13085.577852933326
2031,Scenario 3,T8:H4,850.3380169511418,846.9639972347878
2032,Scenario 1,T6:H4,100.46582755951368,101.4109626481387
2032,Scenario 1,T7:H4,6587.197150574902,6649.926972989648
2032,Scenario 1,T8:H4,373.77717984033967,375.86015827000136
2032,Scenario 2,T6:H4,143.67808640071405,144.20917171309927
2032,Scenario 2,T7:H4,10038.275224871073,10061.741087789667
2032,Scenario 2,T8:H4,626.4143771183516,626.4826627035982
2032,Scenario 3,T6:H4,186.89034524191433,187.00738077805968
2032,Scenario 3,T7:H4,13489.35329916724,13473.555202589683
2032,Scenario 3,T8:H4,879.0515743963632,877.1051671371952
2033,Scenario 1,T6:H4,107.15070853469008,108.31355043229978
2033,Scenario 1,T7:H4,7148.896797458279,7227.756441511433
2033,Scenario 1,T8:H4,374.70528209057954,378.0944654551772
2033,Scenario 2,T6:H4,150.40840123326336,151.1133533909947
2033,Scenario 2,T7:H4,10482.961920426183,10517.796584232345
2033,Scenario 2,T8:H4,638.3155960773298,639.3127361478778
2033,Scenario 3,T6:H4,193.66609393183643,193.91315634968961
2033,Scenario 3,T7:H4,13817.027043394093,13807.836726953255
2033,Scenario 3,T8:H4,901.9259100640807,900.5310068405785
2034,Scenario 1,T6:H4,117.32411520269551,118.44587429675725
2034,Scenario 1,T7:H4,7947.175376501119,8034.284556743475
2034,Scenario 1,T8:H4,385.80093443461254,389.70940864232904
2034,Scenario 2,T6:H4,159.25357253900663,159.89379906418756
2034,Scenario 2,T7:H4,11032.15260739978,11071.469440956493
2034,Scenario 2,T8:H4,653.208235247952,654.3736051245874
2034,Scenario 3,T6:H4,201.18302987531803,201.34172383161788
2034,Scenario 3,T7:H4,14117.129838298439,14108.654325169506
2034,Scenario 3,T8:H4,920.6155360612916,919.0378016068456
2035,Scenario 1,T6:H4,130.86279915288617,131.75610640717724
2035,Scenario 1,T7:H4,9006.781496271029,9095.138675552551
2035,Scenario 1,T8:H4,408.622009401795,412.69405557932106
2035,Scenario 2,T6:H4,170.01942342029267,170.43736912574695
2035,Scenario 2,T7:H4,11699.293795043519,11737.93595845287
2035,Scenario 2,T8:H4,671.5969840484802,672.609180223025
2035,Scenario 3,T6:H4,209.17604768769922,209.11863184431672
2035,Scenario 3,T7:H4,14391.80609381599,14380.733241353184
2035,Scenario 3,T8:H4,934.5719586951648,932.5243048667286
2036,Scenario 1,T6:H4,147.08140486595005,147.6260274441876
2036,Scenario 1,T7:H4,10331.4591538855,10413.505054258028
2036,Scenario 1,T8:H4,443.6592229015557,447.9493421153736
2036,Scenario 2,T6:H4,182.03911141794157,182.15627435893907
2036,Scenario 2,T7:H4,12482.361472915307,12515.980741752393
2036,Scenario 2,T8:H4,693.0223213726429,693.9838331968396
2036,Scenario 3,T6:H4,216.99681796993292,216.68652127369046
2036,Scenario 3,T7:H4,14633.26379194512,14618.456429246753
2036,Scenario 3,T8:H4,942.3854198437298,940.0183242783046
2037,Scenario 1,T6:H4,164.93387831372658,165.07923657332267
2037,Scenario 1,T7:H4,11902.274512617554,11968.71376625174
2037,Scenario 1,T8:H4,491.56679404277,496.34097058611314
2037,Scenario 2,T6:H4,194.41028823858306,194.21523211103099
